county_name,population,hospitals,schools,poverty_index,avg_solar_irradiance,avg_reliability_score,energy_access_score,renewable_potential_score,timestamp
Mombasa,4498218,18,218,68,4.7,58,68,48,2025-09-28 21:42:21.212315
Kwale,1729040,40,1040,20,4.7,20,20,60,2025-09-28 21:42:21.212315
Kilifi,1448583,83,2583,63,4.5,23,63,33,2025-09-28 21:42:21.212876
Tana River,3624356,56,2356,46,4.6,36,46,56,2025-09-28 21:42:21.212876
Lamu,1780033,33,2033,23,4.7,33,23,33,2025-09-28 21:42:21.213729
Taita-Taveta,4256018,18,1018,88,4.6,20,88,58,2025-09-28 21:42:21.214269
Garissa,3227000,5,50,10,4.5,40,10,60,2025-09-28 21:42:21.214572
Wajir,3444870,70,870,30,4.5,70,30,30,2025-09-28 21:42:21.214572
Mandera,4581584,84,584,44,4.7,64,44,30,2025-09-28 21:42:21.215144
Marsabit,2128150,50,150,30,4.5,70,30,30,2025-09-28 21:42:21.215461
Isiolo,604833,33,833,53,4.7,33,53,63,2025-09-28 21:42:21.215461
Meru,3623979,79,979,79,4.6,59,79,49,2025-09-28 21:42:21.216025
Tharaka-Nithi,1892688,88,688,58,4.6,48,58,30,2025-09-28 21:42:21.216342
Embu,3710270,70,270,30,4.5,30,30,30,2025-09-28 21:42:21.216907
Kitui,3325120,20,2120,80,4.7,20,80,60,2025-09-28 21:42:21.217238
Machakos,4253644,44,644,44,4.7,44,44,30,2025-09-28 21:42:21.217238
Makueni,1105178,78,178,88,4.6,58,88,30,2025-09-28 21:42:21.217238
Nyandarua,2147458,58,458,68,4.7,20,68,30,2025-09-28 21:42:21.217798
Nyeri,970086,86,2086,46,4.6,20,46,66,2025-09-28 21:42:21.217798
Kirinyaga,361624,24,624,24,4.5,24,24,34,2025-09-28 21:42:21.218633
Murang'a,4115237,37,2237,47,4.7,37,47,30,2025-09-28 21:42:21.218633
Kiambu,3869002,5,50,32,4.7,42,32,30,2025-09-28 21:42:21.218633
Turkana,618677,77,1677,27,4.5,37,27,30,2025-09-28 21:42:21.219496
West Pokot,3455777,77,777,57,4.5,20,57,37,2025-09-28 21:42:21.219496
Samburu,4786566,66,2566,46,4.6,20,46,30,2025-09-28 21:42:21.219496
Trans Nzoia,3294745,45,1745,10,4.7,25,10,35,2025-09-28 21:42:21.220349
Uasin Gishu,3982908,8,2908,58,4.6,28,58,30,2025-09-28 21:42:21.220670
Elgeyo-Marakwet,2048619,19,619,79,4.6,59,79,30,2025-09-28 21:42:21.220977
Nandi,1520396,96,2396,56,4.7,76,56,30,2025-09-28 21:42:21.220977
Baringo,4743414,14,2414,74,4.7,54,74,44,2025-09-28 21:42:21.220977
Laikipia,987202,5,2202,72,4.5,20,72,30,2025-09-28 21:42:21.221836
Nakuru,4147265,65,265,85,4.6,65,85,65,2025-09-28 21:42:21.221836
Narok,3681328,28,2328,18,4.5,48,18,38,2025-09-28 21:42:21.222594
Kajiado,279930,30,1930,70,4.6,20,70,30,2025-09-28 21:42:21.222594
Kericho,345067,67,2067,87,4.5,27,87,30,2025-09-28 21:42:21.222594
Bomet,1253766,66,766,76,4.6,20,76,56,2025-09-28 21:42:21.223309
Kakamega,1028703,5,2703,63,4.5,63,63,30,2025-09-28 21:42:21.224116
Vihiga,3750676,76,676,76,4.6,36,76,66,2025-09-28 21:42:21.224116
Bungoma,514863,63,1863,10,4.5,63,10,30,2025-09-28 21:42:21.224116
Busia,2952300,5,2300,20,4.7,60,20,40,2025-09-28 21:42:21.225277
Siaya,1622124,24,124,10,4.6,44,10,64,2025-09-28 21:42:21.225277
Kisumu,2249757,57,2757,87,4.5,77,87,37,2025-09-28 21:42:21.225277
Homa Bay,4352731,31,731,71,4.7,20,71,51,2025-09-28 21:42:21.226093
Migori,4769740,40,1740,10,4.5,60,10,30,2025-09-28 21:42:21.226399
Kisii,4255157,57,157,67,4.6,37,67,30,2025-09-28 21:42:21.226399
Nyamira,2300961,61,2961,21,4.5,20,21,41,2025-09-28 21:42:21.226957
Nairobi,4664310,10,1310,50,4.7,70,50,50,2025-09-28 21:42:21.226957
