county_name,temperature,cloud_cover,solar_radiation,humidity,timestamp
Mombasa,23.76,15,718,91,2025-09-28 21:41:54.277640
Kwale,19.78,27,640,97,2025-09-28 21:41:54.851328
Kilifi,24.22,22,683,90,2025-09-28 21:41:55.422587
Tana River,24.04,7,756,85,2025-09-28 21:41:55.996237
Lamu,24.67,19,733,88,2025-09-28 21:41:56.566484
Taita-Taveta,21.4,17,618,67,2025-09-28 21:41:57.199904
Garissa,26.51,37,500,60,2025-09-28 21:41:57.736157
Wajir,29.15,6,770,46,2025-09-28 21:41:58.362999
Mandera,29.07,86,784,52,2025-09-28 21:41:58.957017
Marsabit,23.3,64,650,37,2025-09-28 21:41:59.535305
Isiolo,21.19,23,733,42,2025-09-28 21:42:00.105998
Meru,22.5,18,579,43,2025-09-28 21:42:00.667136
Tharaka-Nithi,21.67,65,588,51,2025-09-28 21:42:01.272727
Embu,20.51,93,770,59,2025-09-28 21:42:01.810322
Kitui,20.34,79,520,58,2025-09-28 21:42:02.402387
Machakos,19.81,100,544,50,2025-09-28 21:42:02.998952
Makueni,21.29,90,678,54,2025-09-28 21:42:03.573924
Nyandarua,12.18,100,658,80,2025-09-28 21:42:04.166796
Nyeri,16.82,91,786,79,2025-09-28 21:42:04.735512
Kirinyaga,22.62,84,524,53,2025-09-28 21:42:05.308961
Murang'a,18.81,100,637,70,2025-09-28 21:42:05.919536
Kiambu,18.34,100,502,74,2025-09-28 21:42:06.456127
Turkana,30.46,21,677,33,2025-09-28 21:42:07.110138
West Pokot,19.14,79,677,80,2025-09-28 21:42:07.724160
Samburu,24.07,97,666,37,2025-09-28 21:42:08.317998
Trans Nzoia,14.78,99,745,96,2025-09-28 21:42:08.883697
Uasin Gishu,13.74,100,708,91,2025-09-28 21:42:09.402447
Elgeyo-Marakwet,9.22,17,519,89,2025-09-28 21:42:09.986922
Nandi,13.65,88,796,96,2025-09-28 21:42:10.594923
Baringo,24.87,100,514,54,2025-09-28 21:42:11.190799
Laikipia,19.76,87,602,56,2025-09-28 21:42:11.717438
Nakuru,17.77,100,765,76,2025-09-28 21:42:12.327754
Narok,17.18,97,728,72,2025-09-28 21:42:12.912738
Kajiado,20.87,100,630,46,2025-09-28 21:42:13.486683
Kericho,13.68,98,767,96,2025-09-28 21:42:14.076750
Bomet,14.19,100,666,94,2025-09-28 21:42:14.729765
Kakamega,16.71,100,503,91,2025-09-28 21:42:15.315644
Vihiga,16.67,98,576,85,2025-09-28 21:42:15.858751
Bungoma,17.53,100,563,93,2025-09-28 21:42:16.393222
Busia,18.47,100,700,91,2025-09-28 21:42:16.974539
Siaya,18.95,100,624,86,2025-09-28 21:42:17.552234
Kisumu,19.97,93,557,82,2025-09-28 21:42:18.192112
Homa Bay,19.14,88,631,82,2025-09-28 21:42:18.742477
Migori,18.27,98,740,82,2025-09-28 21:42:19.394156
Kisii,15.23,92,657,93,2025-09-28 21:42:19.948993
Nyamira,13.83,95,761,95,2025-09-28 21:42:20.527475
Nairobi,18.74,100,610,70,2025-09-28 21:42:21.186167
