id,county_name,temperature,cloud_cover,solar_radiation,humidity,timestamp
1,Nairobi,32.0,37.0,737.0,67.0,2025-09-28 19:21:56.224772
2,Turkana,27.0,92.0,792.0,72.0,2025-09-28 19:21:56.968861
3,Kisumu,32.0,17.0,717.0,47.0,2025-09-28 19:21:57.662389
4,Mombasa,32.0,17.0,517.0,47.0,2025-09-28 19:21:58.378808
5,Nakuru,27.0,82.0,782.0,62.0,2025-09-28 19:21:59.096167
6,Nairobi,18.93,100.0,614.0,72.0,2025-09-28 19:37:21.681687
7,Turkana,29.88,57.0,699.0,33.0,2025-09-28 19:37:22.454664
8,Kisumu,15.95,94.0,537.0,92.0,2025-09-28 19:37:23.156995
9,Mombasa,23.81,58.0,737.0,90.0,2025-09-28 19:37:23.783640
10,Nakuru,16.93,88.0,718.0,84.0,2025-09-28 19:37:24.514180
11,Mombasa,23.76,15.0,718.0,91.0,2025-09-28 21:41:54.277640
12,Kwale,19.78,27.0,640.0,97.0,2025-09-28 21:41:54.851328
13,Kilifi,24.22,22.0,683.0,90.0,2025-09-28 21:41:55.422587
14,Tana River,24.04,7.0,756.0,85.0,2025-09-28 21:41:55.996237
15,Lamu,24.67,19.0,733.0,88.0,2025-09-28 21:41:56.566484
16,Taita-Taveta,21.4,17.0,618.0,67.0,2025-09-28 21:41:57.199904
17,Garissa,26.51,37.0,500.0,60.0,2025-09-28 21:41:57.736157
18,Wajir,29.15,6.0,770.0,46.0,2025-09-28 21:41:58.362999
19,Mandera,29.07,86.0,784.0,52.0,2025-09-28 21:41:58.957017
20,Marsabit,23.3,64.0,650.0,37.0,2025-09-28 21:41:59.535305
21,Isiolo,21.19,23.0,733.0,42.0,2025-09-28 21:42:00.105998
22,Meru,22.5,18.0,579.0,43.0,2025-09-28 21:42:00.667136
23,Tharaka-Nithi,21.67,65.0,588.0,51.0,2025-09-28 21:42:01.272727
24,Embu,20.51,93.0,770.0,59.0,2025-09-28 21:42:01.810322
25,Kitui,20.34,79.0,520.0,58.0,2025-09-28 21:42:02.402387
26,Machakos,19.81,100.0,544.0,50.0,2025-09-28 21:42:02.998952
27,Makueni,21.29,90.0,678.0,54.0,2025-09-28 21:42:03.573924
28,Nyandarua,12.18,100.0,658.0,80.0,2025-09-28 21:42:04.166796
29,Nyeri,16.82,91.0,786.0,79.0,2025-09-28 21:42:04.735512
30,Kirinyaga,22.62,84.0,524.0,53.0,2025-09-28 21:42:05.308961
31,Murang'a,18.81,100.0,637.0,70.0,2025-09-28 21:42:05.919536
32,Kiambu,18.34,100.0,502.0,74.0,2025-09-28 21:42:06.456127
33,Turkana,30.46,21.0,677.0,33.0,2025-09-28 21:42:07.110138
34,West Pokot,19.14,79.0,677.0,80.0,2025-09-28 21:42:07.724160
35,Samburu,24.07,97.0,666.0,37.0,2025-09-28 21:42:08.317998
36,Trans Nzoia,14.78,99.0,745.0,96.0,2025-09-28 21:42:08.883697
37,Uasin Gishu,13.74,100.0,708.0,91.0,2025-09-28 21:42:09.402447
38,Elgeyo-Marakwet,9.22,17.0,519.0,89.0,2025-09-28 21:42:09.986922
39,Nandi,13.65,88.0,796.0,96.0,2025-09-28 21:42:10.594923
40,Baringo,24.87,100.0,514.0,54.0,2025-09-28 21:42:11.190799
41,Laikipia,19.76,87.0,602.0,56.0,2025-09-28 21:42:11.717438
42,Nakuru,17.77,100.0,765.0,76.0,2025-09-28 21:42:12.327754
43,Narok,17.18,97.0,728.0,72.0,2025-09-28 21:42:12.912738
44,Kajiado,20.87,100.0,630.0,46.0,2025-09-28 21:42:13.486683
45,Kericho,13.68,98.0,767.0,96.0,2025-09-28 21:42:14.076750
46,Bomet,14.19,100.0,666.0,94.0,2025-09-28 21:42:14.729765
47,Kakamega,16.71,100.0,503.0,91.0,2025-09-28 21:42:15.315644
48,Vihiga,16.67,98.0,576.0,85.0,2025-09-28 21:42:15.858751
49,Bungoma,17.53,100.0,563.0,93.0,2025-09-28 21:42:16.393222
50,Busia,18.47,100.0,700.0,91.0,2025-09-28 21:42:16.974539
51,Siaya,18.95,100.0,624.0,86.0,2025-09-28 21:42:17.552234
52,Kisumu,19.97,93.0,557.0,82.0,2025-09-28 21:42:18.192112
53,Homa Bay,19.14,88.0,631.0,82.0,2025-09-28 21:42:18.742477
54,Migori,18.27,98.0,740.0,82.0,2025-09-28 21:42:19.394156
55,Kisii,15.23,92.0,657.0,93.0,2025-09-28 21:42:19.948993
56,Nyamira,13.83,95.0,761.0,95.0,2025-09-28 21:42:20.527475
57,Nairobi,18.74,100.0,610.0,70.0,2025-09-28 21:42:21.186167
